x1,y
-1.432358488,-5.781772717
-1.841921387,7.088909041
0.910689725,2.063853694
0.615379072,2.741106325
-1.332610463,-8.075139267
-1.165241887,-10.55727908
-0.318905144,-3.883496501
1.347191851,2.045400098
1.129988708,4.717042968
-0.265453333,-9.496721554
-0.530669906,-9.359546155
-0.362908429,-6.544810692
-1.723017456,-1.923233478
-0.516475947,-8.949260408
0.763953708,2.192447543
0.955516124,2.581339039
-0.3617453,-4.25988888
1.923712828,-7.119612511
0.723737703,2.020431369
-1.823230598,-1.639450639
1.874183311,-5.548261715
-1.62912134,-5.05829822
1.770333624,-1.765436782
-0.910541539,-18.34982647
1.425571063,6.956196644
-0.68170333,-10.25744822
-1.088420192,-7.916371396
0.770710421,4.144662395
-0.947621183,-6.592574031
1.375876887,3.593136301
1.815052412,-1.90315886
0.702765556,5.192709251
-0.92930738,-8.736268725
1.834028538,-2.079322722
1.425052923,1.134217048
-0.112101425,-7.50286772
0.516314985,8.322475171
0.561611207,1.463098085
-0.672447689,-5.94423744
-1.146894788,-7.926641614
0.51481963,-7.139485621
-1.751224846,0.258690545
-0.420861056,-8.669242968
1.783885084,-2.192128279
-1.465794433,-5.587552956
-0.155315053,-4.706436277
0.93863492,-1.630952948
-1.409942835,-7.100760571
-0.580653395,-8.440014769
-0.425950692,-4.648222836
-0.878057109,-9.232556205
0.166713886,2.787720195
0.782839598,9.061027723
0.092744505,0.646600604
0.959802087,2.10305185
-1.595264069,-8.109065081
-1.798247734,0.436818129
1.917016451,-4.597150179
0.912896599,1.709118044
1.218809548,3.112673146
1.073975552,-2.899986998
-0.307932204,0.501956743
-0.761908545,-15.31601865
1.711456709,-7.772642458
1.586437386,0.646667368
1.76185009,1.080806464
-0.712303373,-8.564753944
0.77294133,2.099776016
0.2829182,-0.390992675
-1.945452093,10.91985262
-0.610302813,-9.858875645
1.944017396,-5.992373188
0.305637841,0.166870674
0.227821678,0.596948634
0.63204793,4.205680309
-1.448618774,-5.954888577
-1.727113173,1.780425302
-0.409225469,-10.49934039
-0.070376196,-2.498728136
-0.746358997,-8.441652591
-0.26874638,-10.46620452
1.493158074,0.701761599
-0.86569322,-9.730019272
-0.493420837,-7.965576344
-1.27991341,-14.66440412
-0.32116321,-9.817422477
1.557708334,-0.006236334
-1.300312229,-8.055198691
0.212003956,2.438359341
-0.222639274,-7.849363227
-0.140059413,-7.09794751
-0.956475422,-13.7297384
-1.132072143,-15.0001721
-0.398913036,-10.33991767
0.805923258,4.153960644
-1.050631029,-11.90671876
1.873018083,-5.772424077
-0.144054164,-3.442860202
-0.656899216,-13.82997385
-1.844241304,2.275191474
